workload,baseline_ns,candidate_ns,native_delta_percent,native_uncertainty_ns,native_failed,baseline_instructions,candidate_instructions,instructions_delta_percent,instructions_failed
corpus_job/31b,287600000.0,283700000.0,-1.3560500695410291,57100000.0,False,3662121236,3662115927,-0.00014497062379613694,False
corpus_job/31c,121100000.0,121000000.0,-0.08257638315441784,18800000.0,False,1699161713,1699154792,-0.0004073184998843015,False
corpus_job/32a,981800.0,943400.0,-3.911183540435934,200200.0,False,11757324,11755082,-0.019068965012786925,False
corpus_job/32b,953700.0,948200.0,-0.5767012687427913,111900.0,False,11748076,11746172,-0.016206909114309442,False
corpus_job/33a,1494000.0,1488000.0,-0.40160642570281124,144000.0,False,20795206,20792533,-0.01285392412078053,False
corpus_job/33b,1463000.0,1430000.0,-2.255639097744361,262000.0,False,19957423,19954638,-0.013954707479016705,False
corpus_job/33c,1502000.0,1520000.0,1.1984021304926764,96000.0,False,20927443,20925171,-0.010856558061106653,False
corpus_tpcds/01,1028000.0,1053000.0,2.431906614785992,241100.0,False,11879318,11907760,0.23942451915168866,True
corpus_tpcds/02,1974000.0,1902000.0,-3.6474164133738602,440000.0,False,26022697,26015768,-0.026626755866234773,False
corpus_tpcds/03,331000.0,325300.0,-1.7220543806646527,117200.0,False,3830916,3825083,-0.1522612346498853,False
corpus_tpcds/04,11660000.0,11110000.0,-4.716981132075472,2940000.0,False,143665139,143660188,-0.0034462083386840284,True
corpus_tpcds/06,1778000.0,1791000.0,0.7311586051743532,517000.0,False,21166258,21182287,0.07572902116188888,True
corpus_tpcds/07,2155000.0,2125000.0,-1.3921113689095128,368000.00000000023,False,25517216,25515344,-0.007336223512784467,False
corpus_tpcds/08,1748000.0,1728000.0,-1.1441647597254005,326000.0,False,25644926,25641065,-0.015055609830966172,False
corpus_tpcds/09,886900.0,901400.0,1.6349081068891644,147999.99999999988,False,10811542,10811770,0.002108857367431954,True
corpus_tpcds/10,1190000.0,1169000.0,-1.7647058823529411,154000.0,False,14929514,14945684,0.10830895098125766,True
corpus_tpcds/11,2980000.0,3024000.0,1.476510067114094,565000.0,False,38883859,38876287,-0.019473375829286904,True
corpus_tpcds/12,493400.0,486400.0,-1.4187271990271586,94300.0,False,5841886,5839701,-0.03740230466667785,False
corpus_tpcds/13,14450000.0,14140000.0,-2.1453287197231834,3140000.0,False,181212016,181211319,-0.0003846323303417142,True
corpus_tpcds/15,1198000.0,1193000.0,-0.41736227045075125,352000.0,False,15535909,15534095,-0.011676175497680888,False
corpus_tpcds/16,1078000.0,1065000.0,-1.2059369202226344,141000.00000000012,False,13116186,13128202,0.09161199757307498,True
corpus_tpcds/19,2103000.0,2112000.0,0.42796005706134094,444000.00000000023,False,26824638,26822701,-0.007220973494591055,False
corpus_tpcds/20,473500.0,486500.0,2.7455121436114043,114600.0,False,5877151,5874966,-0.037177877512420555,False
corpus_tpcds/21,745700.0,725400.0,-2.722274373072281,109600.0,False,8750005,8747769,-0.02555427111184508,False
corpus_tpcds/23,4231000.0,4232000.0,0.02363507445048452,1085000.0,False,57509937,57507939,-0.003474182209589275,True
corpus_tpcds/24,4734000.0,4723000.0,-0.23236163920574568,1459000.0,False,61256669,61262238,0.009091255027268949,True
corpus_tpcds/25,10880000.0,10530000.0,-3.2169117647058822,2250000.0,False,138776852,138770717,-0.00442076607992232,False
corpus_tpcds/26,2076000.0,2108000.0,1.5414258188824663,526000.0000000002,False,25688017,25686259,-0.006843657881416071,False
corpus_tpcds/27,3794000.0,3765000.0,-0.7643647865050079,661000.0,False,49196529,49200146,0.007352144701102795,True
corpus_tpcds/28,2081000.0,1979000.0,-4.90148966842864,529000.0,False,26820556,26817490,-0.011431530353062032,True
corpus_tpcds/29,9648000.0,9562000.0,-0.8913764510779436,1271000.0,False,126949497,126943817,-0.004474220169615953,False
corpus_tpcds/30,1478000.0,1497000.0,1.2855209742895806,340000.0,False,18205965,18239158,0.18231936620772368,True
corpus_tpcds/31,4610000.0,4522000.0,-1.9088937093275489,1151000.0,False,57220636,57219035,-0.002797941637698679,False
corpus_tpcds/32,875900.0,866500.0,-1.0731818700764928,126900.0,False,10178242,10189238,0.10803437371601107,True
corpus_tpcds/33,2719000.0,2646000.0,-2.6848105921294594,546000.0,False,35738004,35732350,-0.015820693287739294,False
corpus_tpcds/34,1497000.0,1490000.0,-0.46760187040748163,233000.0,False,17907490,17905185,-0.012871708988808593,False
corpus_tpcds/35,1135000.0,1118000.0,-1.497797356828194,212000.0,False,14565254,14582276,0.11686716894878729,True
corpus_tpcds/36,1963000.0,1936000.0,-1.3754457463066734,338000.0,False,24501933,24495694,-0.025463297120272104,False
corpus_tpcds/37,595800.0,602200.0,1.0741859684457873,131400.0,False,7374241,7372799,-0.019554554834863683,False
corpus_tpcds/38,864700.0,863700.0,-0.11564704521799468,146000.0,False,10630423,10627035,-0.03187079197130726,False
corpus_tpcds/40,1193000.0,1138000.0,-4.610226320201174,373000.0,False,14345006,14343139,-0.013014982356926167,False
corpus_tpcds/41,746100.0,733000.0,-1.755796810079078,140600.0,False,10709371,10714934,0.05194516092495068,True
corpus_tpcds/42,354800.0,356700.0,0.5355129650507328,51900.0,False,4173589,4171850,-0.041666776484220173,False
corpus_tpcds/43,602200.0,584100.0,-3.005645964795749,89900.0,False,7589345,7587266,-0.027393668360049517,False
corpus_tpcds/44,899200.0,888700.0,-1.1677046263345197,104800.0,False,10287348,10287775,0.004150729614668426,True
corpus_tpcds/45,2670000.0,2670000.0,0.0,678000.0,False,35247156,35247358,0.000573095883253673,True
corpus_tpcds/46,1972000.0,1911000.0,-3.0933062880324544,339000.0,False,23228546,23226374,-0.009350563741699545,False
corpus_tpcds/47,3309000.0,3197000.0,-3.3847083711090966,673000.0,False,40094787,40079771,-0.037451252702751604,False
corpus_tpcds/48,4731000.0,4631000.0,-2.113718030014796,1153000.0,False,60127378,60125771,-0.0026726593665867154,True
corpus_tpcds/49,2566000.0,2593000.0,1.0522213561964147,308000.0,False,34263639,34248054,-0.045485536431200436,True
corpus_tpcds/50,1347000.0,1301000.0,-3.414996288047513,136000.0,False,17019062,17006424,-0.07425791151122195,False
corpus_tpcds/52,343300.0,342500.0,-0.23303233323623654,40900.0,False,4066755,4064999,-0.043179389955873906,False
corpus_tpcds/53,1485000.0,1471000.0,-0.9427609427609428,217000.0,False,19047920,19044012,-0.020516675836521784,False
corpus_tpcds/54,1642000.0,1603000.0,-2.3751522533495737,262000.0,False,19187316,19188134,0.004263233065010239,False
corpus_tpcds/55,347900.0,341800.0,-1.7533774073009485,51800.0,False,4041810,4040372,-0.03557811970379607,False
corpus_tpcds/56,2758000.0,2692000.0,-2.3930384336475705,636000.0,False,36434774,36426316,-0.023214086630535983,False
corpus_tpcds/57,3195000.0,3123000.0,-2.2535211267605635,615000.0,False,38857579,38841474,-0.041446225973059206,False
corpus_tpcds/58,1831000.0,1877000.0,2.5122883670125615,274000.0,False,23192914,23187469,-0.023476998190050634,False
corpus_tpcds/59,1694000.0,1691000.0,-0.1770956316410862,349000.0,False,22567275,22566599,-0.0029954879355172477,False
corpus_tpcds/60,2712000.0,2680000.0,-1.1799410029498525,617000.0,False,35602587,35593592,-0.02526501796063303,False
corpus_tpcds/61,11210000.0,10790000.0,-3.746654772524532,2990000.0,False,133655484,133652047,-0.002571536832712379,False
corpus_tpcds/62,1288000.0,1315000.0,2.0962732919254656,286000.0,False,16176757,16174014,-0.01695642705147886,False
